Prevalencia de anticuerpos IgG anti SARS-COv2 por provincia,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Provincia,Total,,,,,Hombres,,,,,Mujeres,,,,
,Nº,%,IC 95%,,,Nº,%,IC 95%,,,Nº,%,IC 95%,,
Soria,652,13.4,9.8,-,18,332,10.2,6.7,-,15.1,320,16.5,11,-,24
Tarragona,659,4.4,2.6,-,7.4,311,4.2,2.4,-,7.3,348,4.6,2.3,-,8.9
Teruel,570,7.7,5.5,-,10.5,282,7,4.9,-,9.9,288,8.3,5.3,-,12.9
Toledo,833,10.6,8.3,-,13.6,387,11,8.4,-,14.3,446,10.3,6.7,-,15.5
Valencia/València,1687,3.4,2.4,-,4.7,798,3.4,2.4,-,4.9,889,3.3,1.9,-,5.7
Valladolid,947,7.5,5.2,-,10.6,448,6,3.8,-,9.5,499,8.9,6,-,13
Bizkaia,1146,5.9,4.1,-,8.3,529,6.9,4.9,-,9.8,617,4.9,3.1,-,7.6
Zamora,606,9.7,7,-,13.3,306,9,5.4,-,14.5,300,10.4,7.6,-,14
Zaragoza,1131,9.5,6.9,-,12.8,530,9.3,6.2,-,13.9,601,9.6,7,-,12.9
Ceuta,893,8.3,6,-,11.5,374,7.5,4.9,-,11.3,519,9.1,6,-,13.5
Melilla,914,8.1,5.2,-,12.4,414,7.6,4.5,-,12.5,500,8.6,5.5,-,13.1
