"Date","CountryName","RegionName","C1_School closing","C2_Workplace closing","C3_Cancel public events","C4_Restrictions on gatherings","C5_Close public transport","C6_Stay at home requirements","C7_Restrictions on internal movement","C8_International travel controls","H1_Public information campaigns","H2_Testing policy","H3_Contact tracing","H6_Facial Coverings","PrescriptionIndex"
2020-04-07,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-14,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-15,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-18,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-21,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-22,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-23,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-25,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-29,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,"Albania","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-14,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-15,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-18,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-21,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-22,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-23,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-25,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-29,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-05,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-06,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-07,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-08,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-10,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-11,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-12,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-13,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-16,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-17,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-18,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-19,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-20,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-22,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-23,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-24,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-25,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-26,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-27,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-28,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-30,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,"Algeria","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-03,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-04,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-05,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-06,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-07,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-08,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-09,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-13,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-14,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-15,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-16,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-18,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-19,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-20,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-21,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-22,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-23,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-24,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-25,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-26,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-27,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-28,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-29,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-02,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-03,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-04,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-05,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-06,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-07,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-08,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-09,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-11,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-12,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-14,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-15,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-16,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-17,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-20,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-25,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-28,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-29,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-30,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-31,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-02,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-03,"Andorra","",0,0,0,0,0,0,0,0,0,0,0,0,0
